-37.03858	1.50
-37.544666	1.81
-37.01393	1.83
-48.39616	1.83
-45.422894	2.12
-49.7271	2.21
-47.323624	3.71
-60.538837	5.18
-58.121086	6.69
-53.007233	6.96
-61.68872	8.55
-56.48587	9.48
-66.71812	9.65
-68.356064	11.87
-64.557076	13.55
-61.738003	12.77
-68.08175	13.74
-71.58601	15.65
-71.27721	18.58
-69.10427	20.11
-75.80148	21.82
-72.4542	22.96
-77.93805	24.40
-73.41545	27.14
-78.2432	27.14
-75.68113	29.90
-76.80903	29.70
-67.63899	25.00
-75.22153	22.26
-70.61169	22.04
-72.38503	19.70
-70.49626	18.54
-73.404175	15.67
-69.08789	15.32
-60.580013	12.82
-54.1192	11.82
-62.09672	9.01
-50.821693	9.09
-53.34981	7.87
-46.365345	7.09
-42.551434	2.88
-52.09786	1.28
