 -22.012281  43.5244  -5.635465  (16.9,)  12
 -16.959127  43.5244  -5.635463333  (16.9,)  12
 -23.474768  43.5244  -5.635463333  (17.0,)  12
 -11.91012  43.5244  -5.635463333  (16.9,)  12
 -4.814374  43.5244  -5.635463333  (16.9,)  12
 -5.9425735  43.5244  -5.635463333  (16.9,)  12
 -7.7679234  43.5244  -5.635465  (16.9,)  12
 -17.213364  43.5244  -5.635465  (16.9,)  12
 -21.866592  43.524398333  -5.635476667  (17.0,)  12
 -24.758877  43.524396667  -5.63552  (17.4,)  12
 -26.272367  43.52439  -5.635573333  (18.4,)  12
 -28.293663  43.524375  -5.635618333  (19.0,)  12
 -28.838076  43.524361667  -5.635656667  (19.6,)  12
 -31.142958  43.52435  -5.6357  (19.7,)  12
 -37.547676  43.524338333  -5.63574  (20.0,)  12
 -37.97583  43.524333333  -5.635768333  (20.5,)  12
 -37.28216  43.524338333  -5.635781667  (20.7,)  12
 -30.89891  43.52434  -5.635793333  (20.9,)  12
 -28.498426  43.524341667  -5.635763333  (20.7,)  12
 -30.216162  43.52435  -5.635708333  (20.2,)  12
 -25.76928  43.524363333  -5.635671667  (19.7,)  12
 -25.058619  43.524391667  -5.635636667  (19.2,)  12
 -20.298355  43.52442  -5.635606667  (19.0,)  12
 -10.345218  43.52444  -5.63557  (18.8,)  12
 -1.3923466  43.52446  -5.635535  (18.5,)  12
